start_date,end_date,updated_date,value,production_type,type,sub_type
2024-11-10 18:30:00+01:00,2024-11-10 19:00:00+01:00,2024-11-09T10:36:00+01:00,2541,AGGREGATED_CPC,D-1,DA01
2024-11-10 19:00:00+01:00,2024-11-10 19:30:00+01:00,2024-11-09T10:36:00+01:00,2583,AGGREGATED_CPC,D-1,DA01
2024-11-10 19:30:00+01:00,2024-11-10 20:00:00+01:00,2024-11-09T10:36:00+01:00,2598,AGGREGATED_CPC,D-1,DA01
2024-11-10 20:00:00+01:00,2024-11-10 20:30:00+01:00,2024-11-09T10:36:00+01:00,2604,AGGREGATED_CPC,D-1,DA01
2024-11-10 20:30:00+01:00,2024-11-10 21:00:00+01:00,2024-11-09T10:36:00+01:00,2619,AGGREGATED_CPC,D-1,DA01
2024-11-10 21:00:00+01:00,2024-11-10 21:30:00+01:00,2024-11-09T10:36:00+01:00,2639,AGGREGATED_CPC,D-1,DA01
2024-11-10 21:30:00+01:00,2024-11-10 22:00:00+01:00,2024-11-09T10:36:00+01:00,2658,AGGREGATED_CPC,D-1,DA01
2024-11-10 22:00:00+01:00,2024-11-10 22:30:00+01:00,2024-11-09T10:36:00+01:00,2660,AGGREGATED_CPC,D-1,DA01
2024-11-10 22:30:00+01:00,2024-11-10 23:00:00+01:00,2024-11-09T10:36:00+01:00,2642,AGGREGATED_CPC,D-1,DA01
2024-11-10 23:00:00+01:00,2024-11-10 23:30:00+01:00,2024-11-09T10:36:00+01:00,2627,AGGREGATED_CPC,D-1,DA01
2024-11-10 23:30:00+01:00,2024-11-11 00:00:00+01:00,2024-11-09T10:36:00+01:00,2620,AGGREGATED_CPC,D-1,DA01
2024-11-10 00:00:00+01:00,2024-11-10 00:30:00+01:00,2024-11-09T13:18:00+01:00,2050,AGGREGATED_CPC,D-1,DA02
2024-11-10 00:30:00+01:00,2024-11-10 01:00:00+01:00,2024-11-09T13:18:00+01:00,2055,AGGREGATED_CPC,D-1,DA02
2024-11-10 01:00:00+01:00,2024-11-10 01:30:00+01:00,2024-11-09T13:18:00+01:00,2060,AGGREGATED_CPC,D-1,DA02
2024-11-10 01:30:00+01:00,2024-11-10 02:00:00+01:00,2024-11-09T13:18:00+01:00,2059,AGGREGATED_CPC,D-1,DA02
2024-11-10 02:00:00+01:00,2024-11-10 02:30:00+01:00,2024-11-09T13:18:00+01:00,2058,AGGREGATED_CPC,D-1,DA02
2024-11-10 02:30:00+01:00,2024-11-10 03:00:00+01:00,2024-11-09T13:18:00+01:00,2069,AGGREGATED_CPC,D-1,DA02
2024-11-10 03:00:00+01:00,2024-11-10 03:30:00+01:00,2024-11-09T13:18:00+01:00,2078,AGGREGATED_CPC,D-1,DA02
2024-11-10 03:30:00+01:00,2024-11-10 04:00:00+01:00,2024-11-09T13:18:00+01:00,2088,AGGREGATED_CPC,D-1,DA02
2024-11-10 04:00:00+01:00,2024-11-10 04:30:00+01:00,2024-11-09T13:18:00+01:00,2098,AGGREGATED_CPC,D-1,DA02
2024-11-10 04:30:00+01:00,2024-11-10 05:00:00+01:00,2024-11-09T13:18:00+01:00,2107,AGGREGATED_CPC,D-1,DA02
2024-11-10 05:00:00+01:00,2024-11-10 05:30:00+01:00,2024-11-09T13:18:00+01:00,2112,AGGREGATED_CPC,D-1,DA02
2024-11-10 05:30:00+01:00,2024-11-10 06:00:00+01:00,2024-11-09T13:18:00+01:00,2110,AGGREGATED_CPC,D-1,DA02
2024-11-10 06:00:00+01:00,2024-11-10 06:30:00+01:00,2024-11-09T13:18:00+01:00,2116,AGGREGATED_CPC,D-1,DA02
2024-11-10 06:30:00+01:00,2024-11-10 07:00:00+01:00,2024-11-09T13:18:00+01:00,2134,AGGREGATED_CPC,D-1,DA02
2024-11-10 07:00:00+01:00,2024-11-10 07:30:00+01:00,2024-11-09T13:18:00+01:00,2142,AGGREGATED_CPC,D-1,DA02
2024-11-10 07:30:00+01:00,2024-11-10 08:00:00+01:00,2024-11-09T13:18:00+01:00,2195,AGGREGATED_CPC,D-1,DA02
2024-11-10 08:00:00+01:00,2024-11-10 08:30:00+01:00,2024-11-09T13:18:00+01:00,2497,AGGREGATED_CPC,D-1,DA02
2024-11-10 08:30:00+01:00,2024-11-10 09:00:00+01:00,2024-11-09T13:18:00+01:00,3023,AGGREGATED_CPC,D-1,DA02
2024-11-10 09:00:00+01:00,2024-11-10 09:30:00+01:00,2024-11-09T13:18:00+01:00,3570,AGGREGATED_CPC,D-1,DA02
2024-11-10 09:30:00+01:00,2024-11-10 10:00:00+01:00,2024-11-09T13:18:00+01:00,4178,AGGREGATED_CPC,D-1,DA02
2024-11-10 10:00:00+01:00,2024-11-10 10:30:00+01:00,2024-11-09T13:18:00+01:00,4697,AGGREGATED_CPC,D-1,DA02
2024-11-10 10:30:00+01:00,2024-11-10 11:00:00+01:00,2024-11-09T13:18:00+01:00,5190,AGGREGATED_CPC,D-1,DA02
2024-11-10 11:00:00+01:00,2024-11-10 11:30:00+01:00,2024-11-09T13:18:00+01:00,5577,AGGREGATED_CPC,D-1,DA02
2024-11-10 11:30:00+01:00,2024-11-10 12:00:00+01:00,2024-11-09T13:18:00+01:00,5925,AGGREGATED_CPC,D-1,DA02
2024-11-10 12:00:00+01:00,2024-11-10 12:30:00+01:00,2024-11-09T13:18:00+01:00,6122,AGGREGATED_CPC,D-1,DA02
2024-11-10 12:30:00+01:00,2024-11-10 13:00:00+01:00,2024-11-09T13:18:00+01:00,6250,AGGREGATED_CPC,D-1,DA02
2024-11-10 13:00:00+01:00,2024-11-10 13:30:00+01:00,2024-11-09T13:18:00+01:00,6227,AGGREGATED_CPC,D-1,DA02
2024-11-10 13:30:00+01:00,2024-11-10 14:00:00+01:00,2024-11-09T13:18:00+01:00,6037,AGGREGATED_CPC,D-1,DA02
2024-11-10 14:00:00+01:00,2024-11-10 14:30:00+01:00,2024-11-09T13:18:00+01:00,5724,AGGREGATED_CPC,D-1,DA02
2024-11-10 14:30:00+01:00,2024-11-10 15:00:00+01:00,2024-11-09T13:18:00+01:00,5307,AGGREGATED_CPC,D-1,DA02
2024-11-10 15:00:00+01:00,2024-11-10 15:30:00+01:00,2024-11-09T13:18:00+01:00,4722,AGGREGATED_CPC,D-1,DA02
2024-11-10 15:30:00+01:00,2024-11-10 16:00:00+01:00,2024-11-09T13:18:00+01:00,4064,AGGREGATED_CPC,D-1,DA02
